====================
cafe  |  Дуся
bank  |  ПриватБанк
pharmacy  |  Сантим
fast_food  |  Пиццемания
pharmacy  |  Аптека низьких цін
cafe  |  Поминальная
cafe  |  13+
cafe  |  Coffee nerds
pharmacy  |  Аптека Доброго Дня
library  |  Бібліотека №149
bank  |  Укрпромбанк
bank  |  Укрсоцбанк
car_wash  |  Автомойка на Василенка 1
cafe  |  Овація
pharmacy  |  City pharm
pharmacy  |  Аптека НЦ
doctors  |  Медассист 5
pharmacy  |  Аптека низких
pharmacy  |  Бажаємо здоров'я
fuel  |  Шелл
restaurant  |  Буглама
fuel  |  AMIC
pharmacy  |  Сімейна
library  |  Бібліотека ім. Ю. Смолича
bank  |  ПромІнвестБанк
bank  |  Platinum Банк
cafe  |  Hyperloop
fast_food  |  Philadelphia
bank  |  Альфа-Банк
fuel  |  U.GO
post_office  |  Нова Пошта 284
dentist  |  Клуб 32
pharmacy  |  Express
post_office  |  Нова Пошта №2
post_office  |  Нова Пошта №249
post_office  |  Нова Пошта №13
post_office  |  Нова Пошта №15
post_office  |  Нова Пошта №17
post_office  |  Нова Пошта №18
post_office  |  Нова Пошта №19
post_office  |  Нова Пошта №20
post_office  |  Нова Пошта
post_office  |  Нова Пошта №5
post_office  |  Нова Пошта №6
post_office  |  Нова Пошта №9 (до 1000 кг)
post_office  |  Нова Пошта. Відділення №2
post_office  |  Нова Пошта №23
pharmacy  |  Фарм-союз
pub  |  Портер Паб
bank  |  Фінанси та Кредит
bank  |  ПроКредит Банк
restaurant  |  SPICY CHANG
bank  |  Укрсоцбанк
pharmacy  |  Примула
bank  |  Ощадбанк
pharmacy  |  Аптека Оптових Ц...
bank  |  МТБ
fuel  |  Glusco
bank  |  ПриватБанк
atm  |  ПриватБанк
pharmacy  |  Арт Мед
pharmacy  |  Фармація
doctors  |  CSD Health Care
driving_school  |  Унісерв
restaurant  |  United kitchen
bank  |  Жовтневе відділення
restaurant  |  Сушія
pharmacy  |  Аптека низьких цін
bank  |  Надра Банк
bank  |  Проминвест банк
pharmacy  |  Росомаха
bank  |  Старокиевский банк
bank  |  KredoBank
post_office  |  Автолюкс
pharmacy  |  Росомаха
cafe  |  Ануш
restaurant  |  ROLLHOUSE
pub  |  MakarBeer
cafe  |  Пекарня BREZEL
dentist  |  Усі 32
pharmacy  |  Аптека доброго дня
bank  |  Ощадбанк
marketplace  |  Турбота
restaurant  |  Думка
dentist  |  Дитяча стоматологічна полікліника
restaurant  |  Гетьман Фортеця
fuel  |  BRSM-Nafta
school  |  Художня школа №9
restaurant  |  Walter's
cafe  |  ДеПо
bar  |  Суомі
bank  |  Альфа-Банк
water_point  |  Бювет
pharmacy  |  Віталюкс
pharmacy  |  Аптека 03
post_office  |  Укрпошта-04111
post_office  |  Укрпошта. Відділення №1
bank  |  Альфа-Банк
bank  |  Ukrsibbank
cafe  |  1А (кафе)
cafe  |  Мика
cinema  |  Островського
fuel  |  Родничок
bank  |  ПриватБанк
pharmacy  |  Столиця
veterinary  |  Ветеринарна допомога vet.ua
money_transfer  |  Western Union
bank  |  ПриватБанк
doctors  |  Мій лікар
pharmacy  |  Аптека доброго дня
fast_food  |  Франс.уа
bank  |  Ощадбанк
veterinary  |  ZooDoctor
clinic  |  Амбулаторія сімейної медицини
bank  |  КС Володар
cafe  |  Кофе лайф
cafe  |  Domik
doctors  |  Полі Клініка
bank  |  OTP Bank
bank  |  COMINBANK
cafe  |  Волконський
bank  |  Фінанси та Кредит
bank  |  Креді Агріколь Банк
fast_food  |  Domino's
pharmacy  |  Tas
